Transmiter,Date,Time (UT),Class,Ix[W/m2],Delta Amp [dB],Delta Phase [deg],Beta,Reflection height,Electron density
DHO,20 Nov 2013,11:29,C4.6,4.6E-6,3.3,13,0.409,69.25,1507970664.65199
DHO,23 Nov 2013,10:30,C3.9,3.9E-6,2.45,17,0.357,70.2,839133737.829968
DHO,23 Nov 2013,12:28,C5.4,5.4E-6,2.8,17,0.372,69.8,1030882071.90574
DHO,05 Dec 2013,11:27,C4.9,4.9E-6,1.6,7,0.337,71.7,469125393.021338
DHO,09 Dec 2013,11:30,C2.9,2.9E-6,1.75,5,0.346,71.55,504450690.277619
DHO,07 Jan 2014,11:53,C2.6,2.6E-6,1,4,0.32,72.65,332876015.635143
DHO,08 Jan 2014,12:04,C6.1,6.1E-6,2.87,15,0.381,69.7,1112171951.19984
DHO,11 Jan 2014,08:35,C4.4,4.4E-6,1.2,11,0.313,72.3,367921682.133522
DHO,17 Jan 2014,09:23,C6.5,3.5E-6,4.56,30,0.512,66.2,11723727928.9709
DHO,18 Jan 2014,10:40,C4.8,4.8E-6,2.8,19,0.37,69.6,1100775373.23408
DHO,18 Jan 2014,12:04,C6.0,6E-6,3.61,28,0.378,68.75,1572261165.85495
DHO,26 Jan 2014,10:13,C6.1,6.1E-6,3.35,22,0.401,68.1,2302314258.14158
DHO,28 Jan 2014,12:05,C8.3,8.3E-6,5.76,27,0.592,65.8,27727225935.847
DHO,30 Jan 2014,10:02,C3.4,3.4E-6,1.6,9,0.331,71.7,462695927.941978
DHO,30 Jan 2014,11:12,C4.1,4.1E-6,1.7,6,0.342,71.6,491061853.906596
DHO,31 Jan 2014,10:49,C2.4,2.4E-6,1,5.7,0.319,72.45,354326957.359481
DHO,01 Feb 2014,10:46,C3.5,3.5E-6,1.4,6,0.332,71.95,426823293.58815
DHO,01 Feb 2014,12:29,C3.6,3.6E-6,0.7,4,0.311,73.05,290388620.108943
DHO,02 feb 2014,11:49,C9.7,9.7E-6,4.8,27,0.546,66.1,16141842541.1402
DHO,02 Feb 2014,09:31,M4.4,4.4E-5,4.45,54,0.561,63.9,62434300774.4269
DHO,03 Feb 2014,11:11,C4.4,4.4E-6,1.75,6,0.344,71.55,501984927.946547
DHO,04 Feb 2014,12:20,C5.9,5.9E-6,3.88,13,0.448,68.5,2539620895.74675
DHO,07 Feb 2014,08:39,C2.7,2.7E-6,2.4,5,0.374,70.7,742460815.264815
DHO,08 Feb 2014,12:30,C3.2,3.2E-6,2.46,7,0.37,70.65,746406303.894861
DHO,12 Feb 2014,12:34,C7.9,7.9E-6,1.8,10,0.339,71.4,521740373.421905
DHO,13 Feb 2014,10:48,C8.4,8.4E-6,4.29,28,0.482,66.8,6947728810.04739
DHO,14 Feb 2014,10:41,C7.2,7.2E-6,4.4,21,0.497,67.2,6344668260.8656
DHO,14 Feb 2014,12:40,M1.6,1.6E-5,5,34,0.574,65.3,31874770907.8482
DHO,27 Feb 2014,09:56,C3.1,4.1E-6,2.2,11,0.353,70.8,668723114.797508
DHO,27 Feb 2014,12:30,C6.7,6.7E-6,4.64,45,0.528,64,42436753570.3676
DHO,28 Feb 2014,10:06,C8.1,8.1E-6,4.9,41,0.381,64.8,7193765989.99712
DHO,04 Mar 2014,10:25,C4.4,4.4E-6,2.9,15,0.381,69.7,1112171951.19984
DHO,04 Mar 2014,11:24,C7.6,7.6E-6,2.8,34,0.362,68.4,1640850682.58755
